question|answer
Apa kabar | Baik kamu sendiri
Sudah makan | Sudah kamu
Hari ini mau ke mana | Ke kantor kamu
Kamu suka kopi | Suka kamu
Apa hobi kamu | Membaca kamu
Punya hewan peliharaan | Punya kucing kamu
Musim favorit kamu | Musim hujan kamu
Kamu suka nonton film | Suka kamu
Apa makanan favorit kamu | Nasi goreng kamu
Suka olahraga apa | Sepak bola kamu
Kamu sudah menikah | Belum kamu
Punya anak | Belum kamu
Apa pekerjaan kamu | Programmer kamu
Kamu suka musik | Suka kamu
Main alat musik | Tidak kamu
Buku terakhir yang kamu baca | Harry Potter kamu
Apa impian terbesar kamu | Keliling dunia kamu
Punya saudara | Punya kamu
Kamu suka traveling | Suka kamu
Tempat favorit kamu | Pantai kamu
Kamu bisa masak | Sedikit kamu
Apa warna favorit kamu | Biru kamu
Kamu suka bermain game | Suka kamu
Genre film favorit kamu | Aksi kamu
Kamu suka berkebun | Tidak kamu
Punya kendaraan | Punya motor kamu
Kota kelahiran kamu | Jakarta kamu
Kamu suka belajar bahasa asing | Suka kamu
Film terakhir yang kamu tonton | Avengers kamu
Apa yang membuat kamu bahagia | Keluarga kamu
Punya banyak teman | Lumayan kamu
Apa minuman favorit kamu | Teh kamu
Suka makanan pedas | Suka kamu
Kamu suka bersepeda | Suka kamu
Apa aktivitas favorit kamu di akhir pekan | Jalan-jalan kamu
Kamu suka menulis | Suka kamu
Apa kamu suka membaca berita | Suka kamu
Punya blog | Tidak kamu
Kamu suka berbelanja | Tidak terlalu kamu
Suka musik klasik | Suka kamu
Apa yang paling kamu takuti | Ketinggian kamu
Punya pacar | Tidak kamu
Kamu suka hujan | Suka kamu
Apa yang kamu lakukan saat bosan | Main game kamu
Punya teman dekat | Punya kamu
Apa yang kamu pelajari di sekolah | Matematika kamu
Kamu suka hewan | Suka kamu
Punya rumah sendiri | Belum kamu
Kamu suka memasak | Suka kamu
Apa yang kamu lakukan di waktu luang | Baca buku kamu
Kamu suka musik rock | Suka kamu
Punya taman di rumah | Punya kamu
Apa olahraga favorit kamu | Basket kamu
Kamu suka makanan manis | Suka kamu
Kamu suka mendaki gunung | Suka kamu
Punya banyak koleksi buku | Punya kamu
Apa warna rambut kamu | Hitam kamu
Kamu suka es krim | Suka kamu
Kamu suka berenang | Suka kamu
Punya banyak baju | Lumayan kamu
Kamu suka berjemur | Tidak kamu
Apa makanan kesukaan kamu waktu kecil | Mie kamu
Kamu suka pergi ke museum | Suka kamu
Apa film favorit kamu | Inception kamu
Kamu suka berkemah | Suka kamu
Punya kebun sayur | Tidak kamu
Kamu suka pesta | Tidak terlalu kamu
Apa kamu suka merajut | Tidak kamu
Apa nama panggilan kamu | Andi kamu
Kamu suka mengajar | Suka kamu
Punya koleksi mainan | Punya kamu
Kamu suka warna merah | Suka kamu
